,mean,std,min,25%,50%,75%,max,slope,kurt,skew,label
mean,1.0,-0.9317197949827595,0.9582702818739632,0.9847112901260872,0.9596667927915195,0.7362842568042917,0.13935220616978633,0.7143531104325771,0.5895487618778971,-0.040101416457946036,-0.5932145696228219
std,-0.9317197949827595,1.0,-0.9782017237099446,-0.9609867229775758,-0.8596901723021527,-0.4924823875051686,0.1398896428265983,-0.6857139659109786,-0.5536575171113272,0.04768873711711339,0.7127358553513643
min,0.9582702818739632,-0.9782017237099446,1.0,0.9577043795776797,0.8827510850763038,0.6051700974826716,-0.029046645033089267,0.7014527548748891,0.5488006205322532,0.042266929601596656,-0.7143580606979303
25%,0.9847112901260872,-0.9609867229775758,0.9577043795776797,1.0,0.9307317084166702,0.6531384211744256,0.056669420863819375,0.6868860656801061,0.608599691688203,-0.078307809061823,-0.6074348273159799
50%,0.9596667927915195,-0.8596901723021527,0.8827510850763038,0.9307317084166702,1.0,0.7070234367462537,0.16395065472533046,0.749562312719274,0.5552072754222619,-0.13196680547539932,-0.520599891603999
75%,0.7362842568042917,-0.4924823875051686,0.6051700974826716,0.6531384211744256,0.7070234367462537,1.0,0.5082292308056304,0.38717967071068543,0.3886111034101756,0.06529097290392064,-0.2877390110899348
max,0.13935220616978633,0.1398896428265983,-0.029046645033089267,0.056669420863819375,0.16395065472533046,0.5082292308056304,1.0,-0.07358714996071543,0.17921911811804417,0.1966278245567404,0.26760888972707825
slope,0.7143531104325771,-0.6857139659109786,0.7014527548748891,0.6868860656801061,0.749562312719274,0.38717967071068543,-0.07358714996071543,1.0,0.4750436140424705,-0.1937286195754379,-0.5293362413272915
kurt,0.5895487618778971,-0.5536575171113272,0.5488006205322532,0.608599691688203,0.5552072754222619,0.3886111034101756,0.17921911811804417,0.4750436140424705,1.0,-0.025021403565183203,-0.36957626916313485
skew,-0.040101416457946036,0.04768873711711339,0.042266929601596656,-0.078307809061823,-0.13196680547539932,0.06529097290392064,0.1966278245567404,-0.1937286195754379,-0.025021403565183203,1.0,-0.09747657804201915
label,-0.5932145696228219,0.7127358553513643,-0.7143580606979303,-0.6074348273159799,-0.520599891603999,-0.2877390110899348,0.26760888972707825,-0.5293362413272915,-0.36957626916313485,-0.09747657804201915,1.0
